fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0364,Plumbing Supplies,2000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0365,Electrical Supplies,697000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0402,Tools Greater Than $100/Unit,15000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0423,Communication Devices,544900.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0424,Furniture and Furnishings,100000.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0440,Machinery and Equipment,98500.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",1032900.0,2023,Chicago Department of Aviation
LOCAL,0610,Chicago Midway Airport Fund,85,Chicago Department of Aviation,2010,Chicago Midway Airport,9438,"For Services Provided by the Department of Assets, Information, and Services",35000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0005,Salaries and Wages - on Payroll,142477937.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0012,Contract Wage Increment - Prevailing Rate,891004.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0015,Schedule Salary Adjustments,591250.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0020,Overtime,12000000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0039,For the Employment of Students as Trainees,175000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0049,Claims and Costs of Administration Pursuant to the Workers' Compensation Act,7821922.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0091,Uniform Allowance,177500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0130,Postage,15000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0138,For Professional Services for Information Technology Maintenance,17702900.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,126276100.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0141,Appraisals,50000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0142,Accounting and Auditing,1089400.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0144,Engineering and Architecture,770000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0147,Surveys,15000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0148,Testing and Inspecting,29900.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0149,For Software Maintenance and Licensing,1248500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0152,Advertising,367300.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0155,Rental of Property,2400000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0157,Rental of Equipment and Services,87149900.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0160,Repair or Maintenance of Property,2250000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0161,"Operation, Repair or Maintenance of Facilities",44898200.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0162,Repair/Maintenance of Equipment,18799300.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0163,Repair/Maintenance of Streets and Pavements,13482100.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0166,"Dues, Subscriptions and Memberships",583000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0168,Educational Development through Cooperative Education Program and Apprenticeship Program,2430700.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0169,Technical Meeting Costs,521800.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0178,Freight and Express Charges,20000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0181,Mobile Communication Services,270500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0183,Water,12000000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0185,Waste Disposal Services,1470000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0189,Telephone - Non-Centrex Billings,321800.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0190,Telephone - Centrex Billings,603000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0196,Data Circuits,360000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0197,Telephone - Maintenance and Repair of Equipment and Voicemail,20000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0229,Transportation and Expense Allowance,5500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0245,Reimbursement to Travelers,171000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0270,Local Transportation,6500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0313,Cleaning and Sanitation Supplies,797500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0314,Fuel Oil,100000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0319,Clothing,580500.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0340,Material and Supplies,10547100.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0345,Apparatus and Instruments,25000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0348,Books and Related Material,23100.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0350,Stationery and Office Supplies,200000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0360,Repair Parts and Material,1554000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0361,Building Materials and Supplies,593000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0362,Paints and Painting Supplies,550000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0364,Plumbing Supplies,180000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0365,Electrical Supplies,3650000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0402,Tools Greater Than $100/Unit,35000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0423,Communication Devices,1278700.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0424,Furniture and Furnishings,1010000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0440,Machinery and Equipment,1861600.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,0446,"For the Purchase of Data Processing, Office Automation and Data Communication Hardware",3677600.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,9438,"For Services Provided by the Department of Assets, Information, and Services",90000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,9441,For Services Provided by the Chicago Department of Public Health,90000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,9481,For Services Provided by the Department of Streets and Sanitation,1200000.0,2023,Chicago Department of Aviation
LOCAL,0740,Chicago O'Hare Airport Fund,85,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,9484,For Services Provided by the Chicago Department of Transportation,800000.0,2023,Chicago Department of Aviation
LOCAL,0200,Water Fund,88,Department of Water Management,2005,Commissioner's Office,0005,Salaries and Wages - on Payroll,5740897.0,2023,Department of Water Management
LOCAL,0200,Water Fund,88,Department of Water Management,2005,Commissioner's Office,0012,Contract Wage Increment - Prevailing Rate,29171.0,2023,Department of Water Management
